2026-06-16 14:19:08,668 | INFO | 搬檔成功
2026-06-16 14:19:08,842 | INFO | Excel寫入成功
2026-06-16 14:19:08,843 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150605.pdf
2026-06-16 14:19:12,713 | INFO | 搬檔成功
2026-06-16 14:19:12,713 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659947.pdf
2026-06-16 14:19:15,865 | INFO | 搬檔成功
2026-06-16 14:19:15,959 | INFO | Excel寫入成功
2026-06-16 14:19:15,962 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660099.pdf
2026-06-16 14:19:16,105 | INFO | 搬檔成功
2026-06-16 14:19:16,160 | INFO | Excel寫入成功
2026-06-16 14:19:16,161 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660422.pdf
2026-06-16 14:19:16,270 | INFO | 搬檔成功
2026-06-16 14:19:16,310 | INFO | Excel寫入成功
2026-06-16 14:19:16,310 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660423.pdf
2026-06-16 14:19:16,401 | INFO | 搬檔成功
2026-06-16 14:19:16,510 | INFO | Excel寫入成功
2026-06-16 14:19:16,510 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660575.pdf
2026-06-16 14:19:16,593 | INFO | 搬檔成功
2026-06-16 14:19:16,636 | INFO | Excel寫入成功
2026-06-16 14:19:16,636 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660577.pdf
2026-06-16 14:19:16,727 | INFO | 搬檔成功
2026-06-16 14:19:16,779 | INFO | Excel寫入成功
2026-06-16 14:19:16,779 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660752.pdf
2026-06-16 14:19:16,911 | INFO | 搬檔成功
2026-06-16 14:19:16,985 | INFO | Excel寫入成功
2026-06-16 14:19:16,985 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660890.pdf
2026-06-16 14:19:17,077 | INFO | 搬檔成功
2026-06-16 14:19:17,128 | INFO | Excel寫入成功
2026-06-16 14:19:17,128 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153760637_1.pdf
2026-06-16 14:19:20,046 | INFO | 搬檔成功
2026-06-16 14:34:35,808 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\01150505-1.pdf
2026-06-16 14:34:41,477 | INFO | 公司文 → 不寫Excel
2026-06-16 14:34:42,674 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\01150511-1.pdf
2026-06-16 14:34:45,797 | INFO | 公司文 → 不寫Excel
2026-06-16 14:34:45,812 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\01150513-1.pdf
2026-06-16 14:34:48,749 | INFO | 公司文 → 不寫Excel
2026-06-16 14:34:48,767 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\01150513-2.pdf
2026-06-16 14:34:52,295 | INFO | 公司文 → 不寫Excel
2026-06-16 14:34:52,310 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\01150515-1.pdf
2026-06-16 14:34:54,942 | INFO | 公司文 → 不寫Excel
2026-06-16 14:34:54,983 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\050510.pdf
2026-06-16 14:34:57,999 | INFO | 公司文 → 不寫Excel
2026-06-16 14:34:58,015 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\051310.pdf
2026-06-16 14:35:00,798 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:00,816 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\052810.pdf
2026-06-16 14:35:03,352 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:03,382 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1142734497.pdf
2026-06-16 14:35:07,162 | INFO | 搬檔成功
2026-06-16 14:35:07,162 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1142734502.pdf
